user_id;status_id;created_at;text;label
1,199E+18;1,21895E+18;19/01/2020 17:47;@hanneloremorto5 @PamelaGeller I'm not surprised, I was one of the first people from the state banking Department to go to the Iranian Bank in New York, to seize the funds, in the boardroom was a picture of Ayatollah Khomeini, I expect Bernie Sanders and the Socialist, to accept and support any against America;0
1,19689E+18;1,21895E+18;19/01/2020 17:48;Bank of America folks are just as bad as liberals. They want your money but don?t care about you at all.just keep that in mind don?t trust them.;-1
67173946;1,21896E+18;19/01/2020 17:57;"Do you know who really hit paydirt don!? Everybody in America..any bank or person  u borrowed $ from...!
After its over..in nov 2020...u should allow a team of therapists get to work on you...for your family if not for anyone else. https://t.co/NAIyupauTK";-1
3038387871;1,21896E+18;19/01/2020 18:06;A hip video related to https://t.co/ZFyFUsmfyO 10 Reasons the Bank of America Mural holds the key #illuminati;0
3086103535;1,21896E+18;19/01/2020 18:20;"@yamphoto @latimes @andreamcastillo @latimesphotos @alanhagman LA Times ignores all the US meddling, such as this: the freezing by Bank of England of $1.2 billion in Venezuela gold held by them. https://t.co/kFJwDCos3H
So the US govt is adding to suffering of the Venezuelans instead of aiding them. On par with US history in Latin America.";0
1,1954E+18;1,21897E+18;19/01/2020 18:36;@CathieTozer @UROCKlive1 @JeffreyMeursing @maddow The oligarchs and Deutsche Bank has kept this criminal afloat. He owes billions to all of them. He could never pay back all that cash with his track record so he sold out America;-1
1,13405E+18;1,21897E+18;19/01/2020 18:45;Bank of America quarterly profit falls 4% https://t.co/Vh4IMIKg66;0
25849935;1,21897E+18;19/01/2020 18:48;The same streets said Bank of America wants their money for them overdraft fees https://t.co/KjIUEmwUF3;0
1,06179E+18;1,21897E+18;19/01/2020 18:58;"Big Biz pushes for S386 to use cheap Indian H1Bs to replace #AmericanWorkers

Indian gov lobbies for S386 as it receives $80B in remittances, the most of any country!

Congress -- end the assault on America! <U+0001F1FA><U+0001F1F8>

No #S386
End #OPT #H4EAD #H1B #L1

@LouDobbs
https://t.co/uPT6rgmHG7";0
1322085990;1,21897E+18;19/01/2020 19:04;Bank of America aims to ?double? its slice of <U+200A>US retail business https://t.co/O7VY6QDIsU;0
8,75356E+17;1,21897E+18;19/01/2020 19:04;Bank of America aims to ?double? its slice of US retail business https://t.co/IY1MLVe7ds;0
156036434;1,21897E+18;19/01/2020 19:10;"Bank of America's CEO thinks the company can double its retail business in the US, per .@FT

https://t.co/NPUTdauDSC";0
122104516;1,21897E+18;19/01/2020 19:11;@BushFdn @Quirinale @ParisAMDParis @euronext_fr @SwedeninUSA @royal_Historian @France24_en @FedericaMog @euronews @BBCNews @washingtonpost @latimes @sfchronicle @chicagotribune @BostonGlobe @nytimes @amNewYork @ASCI_Inc Donald Trumps Impeachment is all about a bank and oil dealIf a president has chosen vaping cigarettes over America avenues is breech of not trusts Tell the New York Times ignorance is a Bastard;0
75935304;1,21897E+18;19/01/2020 19:13;"@SharylAttkisson The impeachment is a defense of ?the liberal world order? &amp; all thus implied globally; upholding the EU &amp; America as the piggy bank/nanny of the world. Thus Trump is anti-immigration, a nationalist who?ll embolden our enemies abroad. Unfounded fears that spawned a phony dossier.";0
1684113042;1,21898E+18;19/01/2020 19:21;@johndetrixhe @FT Does Deutsce Bank abandonment of its global ambitions leaves any beneficial gap for other hunters like Bank of America, to chase?;0
9836412;1,21898E+18;19/01/2020 19:24;Despite having an office tower in Central, Bank of America does not have any ATMs in Hong Kong.;-1
315912185;1,21898E+18;19/01/2020 19:26;Bank of America aims to ?double? its slice of <U+200A>US retail business | Financial Times <U+2066>@FT<U+2069>: #banks #RetailBanking #USBanks $BAC https://t.co/9oDdHUg5Fe;0
75175465;1,21898E+18;19/01/2020 19:32;"Texas GOPer Cornyn blames Trump?s problems on campaign ?grifters? ? then calls Giuliani ?not relevant? https://t.co/Oo9X5uS1ap

its time to check @JohnCornyn bank account for large sums of Russian Rubles. He doesnt work for America any more @GOP";0
2198809010;1,21898E+18;19/01/2020 19:32;"Foolish people putting their money in a Mexican bank.  They don't have FDIC. No guarantee of reimbursement if you get ripped off.  Keep your money in America fools.
https://t.co/7DTFQge5ns";0
2569859688;1,21898E+30;19/01/2020 19:35;"Bamboos Consulting presents Stocks making the biggest moves midday: Target, Shake Shack, Beyond Meat, Bank of America &amp; more - See https://t.co/ukuOzkUQLR for more";0
1,10849E+18;1,21898E+18;19/01/2020 19:52;"@kimguilfoyle @DonaldJTrumpJr @WhiteHouse
@realDonaldTrump 
Russia is an enemy of America and the Trump policy of Deutsche loans and Russian banking. https://t.co/4WTZot5mLt";0
8,29481E+17;1,21899E+18;19/01/2020 20:22;"In the last 3 yrs JP Morgan Chase, Wells Fargo, Citibank &amp; Bank of America have loaned over $581 billion to fossil fuel companies.
#ClimateCrisis
https://t.co/mAAa46VJKk";-1
40780314;1,21899E+18;19/01/2020 20:25;@NKOTB @DonnieWahlberg @dannywood @joeymcintyre @jordanknight @JonathanRKnight Charlotte NC, Bank of America Stadium. Carolina girls love NKOTB!!;1
947894630;1,219E+18;19/01/2020 20:39;@SharylAttkisson They created a false emergency to remove trump and protect the democrats that are guilty of conspiracy against AMERICA just to fill their pockets and bank accounts.Need more detail just ask me.Thank you;0
18735040;1,219E+18;19/01/2020 20:43;@Harvin47474104 Hello. This doesn't appear to be a receipt that was issued by Bank of America. ^hunter;0
338677429;1,219E+18;19/01/2020 20:45;"@nuliyo I will be praying for you! Good luck! I mean they were goood but they pissed me off so took all my money &amp; went to Bank of America";1
1,07432E+18;1,219E+18;19/01/2020 20:50;"@TomSteyer Bailout of the mega-rich shareholders and the missing billions from 9/19 that froze bank assets worldwide,  taxes paid on Iraq/Afghanistan war, and loss of property due to predatory housing loan schemes. Don't forget the war on Blacks in America! #JimCrowToday 
#prison";0
1424623675;1,219E+18;19/01/2020 20:53;Ummm - and people wonder why we call him ?if the Pride Bank of America float were a person? ...this is some bullshit. To quote Latrice Royale and her ?5 Gs? - ?Good God Get a Grip Girl? <U+0001F610> https://t.co/q9pX0evPEf;-1
1,14792E+18;1,219E+18;19/01/2020 20:57;@TheRISEofROD We are legal America citizens! We are victims of criminal abused after domestic violence, identity fraud, tax and bank fraud.. they against us again! My husband, my son?s father name: Ka Hong Kong, phone number: 9174166600! He fraud MTA TLC drivers information with accounts Howar;-1
499687527;1,219E+18;19/01/2020 21:00;"@FO_Woolverton Cross creek mall becomes huge data center &amp; food court  remnants for data center staff, bus riders, and homeless &amp; panhandlers. Bank of America remains as last Cumberland County branch all others closed replaced by ATM. Mall FAST transfer point may survive.";0
26307302;1,219E+18;19/01/2020 21:00;The building reportedly was last sold for more than $300 million. https://t.co/opnJRTgPVH;0
269162668;1,21901E+18;19/01/2020 21:36;#<U+0627><U+064A>_<U+0627><U+0644><U+0628><U+0646><U+0648><U+0643>_<U+0627><U+0633><U+0647><U+0644>_<U+062A><U+0639><U+0627><U+0645><U+0644>_<U+0645><U+0639>_<U+0627><U+0644><U+0646><U+0627><U+0633> Bank of America;0
612910657;1,21901E+18;19/01/2020 21:39;Y?all fw Bank of America? I just made an account;1
7,91444E+17;1,21901E+18;19/01/2020 21:41;CEO says Bank of America aims to ?double? its U.S. consumer market share:?FT https://t.co/neASFCa7IU;1
419473682;1,21901E+18;19/01/2020 21:44;I called DCF and Leos and I told Navy Federal and Bank Of America.. The help is now grasping for straws to play victim https://t.co/3nW2MdL6A8;0
241640955;1,21901E+18;19/01/2020 21:46;"...  Bank of America estimates is more than 700 interest rate cuts and around $12 trillion in quantitative easing since 2009

@business";0
417940953;1,21902E+18;19/01/2020 21:56;#currency #cryptocurrency CEO says Bank of America aims to 'double' its U.S. consumer market share: FT: FILE PHOTO: Bank of America CEO Brian Moynihan attends the World Economic Forum (WEF) annual meeting in Davos, Switzerland, Jan https://t.co/XLiqzwmMJq;1
43272864;1,21902E+18;19/01/2020 22:00;Who Are Bank of America?s Main Competitors? #socialmedia https://t.co/bHAf1jeKQk;0
72552866;1,21902E+18;19/01/2020 22:02;CEO says Bank of America aims to 'double' its U.S. consumer market share: FT Brian Moynihan, the chief executive officer of Bank of America Corp , has said the bank could double its consumer market share in the United States despite... https://t.co/uGpEoVXmw2 #USRC #BusinessNews https://t.co/w7EMIzhAHx;1
207276424;1,21902E+18;19/01/2020 22:03;"@JimNM11 @adamcovfefe @protecttruth_ Your link doesn?t say what the headline suggests; it?s a projection at just the 6-week mark of the quarter that turned out to be horribly wrong:

https://t.co/krKbtlW5Vj";0
8,03061E+17;1,21902E+18;19/01/2020 22:16;CEO says Bank of America aims to ?double? its U.S. consumer market share: FT https://t.co/ecr6TLI9CQ;1
4912768753;1,21902E+18;19/01/2020 22:25;@Reuters Why use Bank of America when you can use a credit union?;0
1283913380;1,21902E+18;19/01/2020 22:32;@akooberry @JoeBiden By the way, I heard that Bank of America is raising their minimum wage to $20/hr this March. Thank you Mr. Trump!;1
1,13405E+18;1,21903E+18;19/01/2020 22:42;Holiday sales may have been better-than-expected, up nearly 5%, Bank of America economists say https://t.co/vuPyF8aEdA;0
395350602;1,21903E+18;19/01/2020 22:46;*narrator*: Bank of America was not destroyed in said future crisis https://t.co/41aO46EkRM;0
2258077663;1,21903E+18;19/01/2020 22:48;"Health CEO says Bank of America aims to &amp;#39;double&amp;#39; its U.S. consumer market share: FT https://t.co/vl1UQN18BX via @circleboom";0
14310650;1,21903E+18;19/01/2020 23:02;I need to make one of those fundraising thermometers! I'm almost 30% to goal! : https://t.co/nCJsrTCb6G;0
1,13714E+18;1,21903E+18;19/01/2020 23:03;CEO says Bank of America aims to 'double' its U.S. consumer market... https://t.co/QWd00ylYVU;0
33268930;1,21903E+18;19/01/2020 23:07;@DavidBCollum @BankofAmerica @WellsFargo Bank of America  is a saint vs Credit Acceptance Corporation.  $cacc  Subprime auto loans will crush them since that's all they do;0
9,32746E+17;1,21903E+18;19/01/2020 23:09;CEO says Financial institution of America goals to ?double? its U.S. shopper market Share: FT ??NEWPAPER24 https://t.co/wFxDv2EYD6;0
123731042;1,21904E+18;19/01/2020 23:17;Strategists at Bank of America Corp. are already telling clients to brace for a ?ground-breaking ?peak decade?? that will disrupt business and investing.;1
9,1134E+17;1,21904E+18;19/01/2020 23:19;CEO says Bank of America aims to 'double' its U.S. consumer market share: FT - https://t.co/M6R3UzZ3pO #VIXC #LatestComments;1
1,19689E+18;1,21904E+18;19/01/2020 23:20;@JohnLegere @TMobile Maybe you can help me to get Bank of America to give back my 96000 that was hacked from my account.;-1
1,02519E+18;1,21904E+18;19/01/2020 23:26;CEO says Bank of America aims to 'double' its U.S. consumer market share:?FT https://t.co/bjiNhPoHc2;0
1,16781E+18;1,21904E+18;19/01/2020 23:32;"ok but bts plz come to north carolina we have the bank of america stadium. 
plz I'll buy you chicken nuggets. 

@BTS_twt @bts_bighit @BigHitEnt";0
1,18011E+18;1,21904E+18;19/01/2020 23:34;"METHODS ON DECK COME SHOP

VENMO
CASHAPP
APPLE PAY
ANY BANK METHOD (BANK OF AMERICA, WELLS FARGO, TD BANK, etc.)

TAP IN <U+0001F4F2>";0
7,08237E+17;1,21904E+18;19/01/2020 23:36;From 2018? WTH???? Why is Bank of America Helping Trump? | Washington Monthly https://t.co/ZiHuuQJ39m;-1
8,57371E+17;1,21904E+18;19/01/2020 23:44;"America. American Taxpayers American Voters below are the ""Only The Best People"" known and used by the so called ""president"" of our Country. This is #trump. If U want 2 fight 2 get our America bank from these thugs, #VoteBlue2020 #VoteBlue2020 #VoteBlue2020
#VetAllCandidates. https://t.co/JxQj10BKYI";-1
1,17507E+18;1,21905E+18;19/01/2020 23:53;"""Bank of America CEO aims to 'double' its U.S. consumer market share"" via FOX BIZ https://t.co/zriSZ7L0KH";0
1,20309E+18;1,21905E+18;19/01/2020 23:55;N213PF, an Airbus Helicopters Squirrel AS 350 B3, is circling over Downtown Los Angeles, Los Angeles at 875 feet, speed 71 MPH, squawking 1200, 0.01 miles from Bank of America Plaza Helipad #N213PF https://t.co/IvOq8z8635 https://t.co/WSDLr4uGVN;0
71452474;1,21905E+18;19/01/2020 23:57;Hey Bank of America, I?d be more surprised if you e-mailed me every time I had MORE than $25 in my account.;0
